psoxide-tape,v2,clock=pad_poll,start_poll=177
frame,buttons,right_x,right_y,left_x,left_y
0,0,128,128,128,128
1,0,128,128,128,128
2,0,128,128,128,128
3,0,128,128,128,128
4,0,128,128,128,128
5,0,128,128,128,128
6,0,128,128,128,128
7,0,128,128,128,128
8,0,128,128,128,128
9,0,128,128,128,128
10,0,128,128,128,128
11,0,128,128,128,128
12,0,128,128,128,128
13,0,128,128,128,128
14,0,128,128,128,128
15,0,128,128,128,128
16,0,128,128,128,128
17,0,128,128,128,128
18,0,128,128,128,128
19,0,128,128,128,128
20,0,128,128,128,128
21,0,128,128,128,128
22,0,128,128,128,128
23,0,128,128,128,128
24,0,128,128,128,128
25,0,128,128,128,128
26,0,128,128,128,128
27,0,128,128,128,128
28,0,128,128,128,128
29,0,128,128,128,128
30,0,128,128,128,128
31,0,128,128,128,128
32,0,128,128,128,128
33,0,128,128,128,128
34,0,128,128,128,128
35,0,128,128,128,128
36,0,128,128,128,128
37,0,128,128,128,128
38,0,128,128,128,128
39,0,128,128,128,128
40,0,128,128,128,128
41,0,128,128,128,128
42,0,128,128,128,128
43,0,128,128,128,128
44,0,128,128,128,128
45,0,128,128,128,128
46,0,128,128,128,128
47,0,128,128,128,128
48,0,128,128,128,128
49,0,128,128,128,128
50,0,128,128,128,128
51,0,128,128,128,128
52,0,128,128,128,128
53,0,128,128,128,128
54,0,128,128,128,128
55,0,128,128,128,128
56,0,128,128,128,128
57,0,128,128,128,128
58,0,128,128,128,128
59,0,128,128,128,128
60,0,128,128,128,128
61,0,128,128,128,128
62,0,128,128,128,128
63,0,128,128,128,128
64,0,128,128,128,128
65,0,128,128,128,128
66,0,128,128,128,128
67,0,128,128,128,128
68,0,128,128,128,128
69,0,128,128,128,128
70,0,128,128,128,128
71,0,128,128,128,128
72,0,128,128,128,128
73,0,128,128,128,128
74,0,128,128,128,128
75,0,128,128,128,128
76,0,128,128,128,128
77,0,128,128,128,128
78,0,128,128,128,128
79,0,128,128,128,128
80,0,128,128,128,128
81,0,128,128,128,128
82,0,128,128,128,128
83,0,128,128,128,128
84,0,128,128,128,128
85,0,128,128,128,128
86,0,128,128,128,128
87,0,128,128,128,128
88,0,128,128,128,128
89,0,128,128,128,128
90,0,128,128,128,128
91,0,128,128,128,128
92,0,128,128,128,128
93,0,128,128,128,128
94,0,128,128,128,128
95,0,128,128,128,128
96,0,128,128,128,128
97,0,128,128,128,128
98,0,128,128,128,128
99,0,128,128,128,128
100,0,128,128,128,128
101,0,128,128,128,128
102,0,128,128,128,128
103,0,128,128,128,128
104,0,128,128,128,128
105,0,128,128,128,128
106,0,128,128,128,128
107,0,128,128,128,128
108,0,128,128,128,128
109,0,128,128,128,128
110,0,128,128,128,128
111,0,128,128,128,128
112,0,128,128,128,128
113,0,128,128,128,128
114,0,128,128,128,128
115,0,128,128,128,128
116,0,128,128,128,128
117,0,128,128,128,128
118,0,128,128,128,128
119,0,128,128,128,128
120,0,128,128,128,128
121,0,128,128,128,128
122,0,128,128,128,128
123,0,128,128,128,128
124,0,128,128,128,128
125,0,128,128,128,128
126,0,128,128,128,128
127,0,128,128,128,128
128,0,128,128,128,128
129,0,128,128,128,128
130,0,128,128,128,128
131,0,128,128,128,128
132,0,128,128,128,128
133,0,128,128,128,128
134,0,128,128,128,128
135,0,128,128,128,128
136,0,128,128,128,128
137,0,128,128,128,128
138,0,128,128,128,128
139,0,128,128,128,128
140,0,128,128,128,128
141,0,128,128,128,128
142,0,128,128,128,128
143,0,128,128,128,128
144,0,128,128,128,128
145,0,128,128,128,128
146,0,128,128,128,128
147,0,128,128,128,128
148,0,128,128,128,128
149,0,128,128,128,128
150,0,128,128,128,128
151,0,128,128,128,128
152,0,128,128,128,128
153,0,128,128,128,128
154,0,128,128,128,128
155,0,128,128,128,128
156,0,128,128,128,128
157,0,128,128,128,128
158,0,128,128,128,128
159,0,128,128,128,128
160,0,128,128,128,128
161,0,128,128,128,128
162,16384,128,128,128,128
163,16384,128,128,128,128
164,16384,128,128,128,128
165,16384,128,128,128,128
166,16384,128,128,128,128
167,16384,128,128,128,128
168,16384,128,128,128,128
169,0,128,128,128,128
170,0,128,128,128,128
171,0,128,128,128,128
172,0,128,128,128,128
173,0,128,128,128,128
174,0,128,128,128,128
175,0,128,128,128,128
176,0,128,128,128,128
177,0,128,128,128,128
178,0,128,128,128,128
179,0,128,128,128,128
180,0,128,128,128,128
181,0,128,128,128,128
182,0,128,128,128,128
183,0,128,128,128,128
184,0,128,128,128,128
185,0,128,128,128,128
186,0,128,128,128,128
187,0,128,128,128,128
188,0,128,128,128,128
189,0,128,128,128,128
190,0,128,128,128,128
191,0,128,128,128,128
192,0,128,128,128,128
193,0,128,128,128,128
194,0,128,128,128,128
195,0,128,128,128,128
196,0,128,128,128,128
197,0,128,128,128,128
198,0,128,128,128,128
199,0,128,128,128,128
200,0,128,128,128,128
201,0,128,128,128,128
202,0,128,128,128,128
203,0,128,128,128,128
204,0,128,128,128,128
205,0,128,128,128,128
206,0,128,128,128,128
207,0,128,128,128,128
208,0,128,128,128,128
209,0,128,128,128,128
210,0,128,128,128,128
211,0,128,128,128,128
212,0,128,128,128,128
213,0,128,128,128,128
214,0,128,128,128,128
215,0,128,128,128,128
216,0,128,128,128,128
217,0,128,128,128,128
218,0,128,128,128,128
219,0,128,128,128,128
220,0,128,128,128,128
221,0,128,128,128,128
222,0,128,128,128,128
223,0,128,128,128,128
224,0,128,128,128,128
225,0,128,128,128,128
226,0,128,128,128,128
227,0,128,128,128,128
228,0,128,128,128,128
229,0,128,128,128,128
230,0,128,128,128,128
231,0,128,128,128,128
232,0,128,128,128,128
233,0,128,128,128,128
234,0,128,128,128,128
235,0,128,128,128,128
236,0,128,128,128,128
237,0,128,128,128,128
238,0,128,128,128,128
239,0,128,128,128,128
240,0,128,128,128,128
241,0,128,128,128,128
242,0,128,128,128,128
243,0,128,128,128,128
244,0,128,128,128,128
245,0,128,128,128,128
246,0,128,128,128,128
247,0,128,128,128,128
248,0,128,128,128,128
249,0,128,128,128,128
250,0,128,128,128,128
251,0,128,128,128,128
252,0,128,128,128,128
253,0,128,128,128,128
254,0,128,128,128,128
255,0,128,128,128,128
256,0,128,128,128,128
257,0,128,128,128,128
258,0,128,128,128,128
259,0,128,128,128,128
260,0,128,128,128,128
261,0,128,128,128,128
262,0,128,128,128,128
263,0,128,128,128,128
264,0,128,128,128,128
265,0,128,128,128,128
266,0,128,128,128,128
267,0,128,128,128,128
268,0,128,128,128,128
269,0,128,128,128,128
270,0,128,128,128,128
271,0,128,128,128,128
272,0,128,128,128,128
273,0,128,128,128,128
274,0,128,128,128,128
275,0,128,128,128,128
276,0,128,128,128,128
